sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_030788695.1_PDT001706114.1_genomic_k31_w50_minimizers.hll,2979.16,2788.37,3156.43,177.269,0.0635746
GCA_900076385.1_12045_5_10_genomic_k31_w50_minimizers.hll,2979.16,2867.99,3024.8,45.6413,0.015914
GCA_000958735.1_ASM95873v1_genomic_k31_w50_minimizers.hll,2979.16,2862.04,3135.83,156.671,0.054741
GCA_023154175.1_ASM2315417v1_genomic_k31_w50_minimizers.hll,2979.16,2784.81,3093.5,114.342,0.0410593
GCA_049322075.1_ASM4932207v1_genomic_k31_w50_minimizers.hll,2979.16,2827.54,3092.29,113.135,0.0400117
GCA_023752605.1_ASM2375260v1_genomic_k31_w50_minimizers.hll,2979.16,2848.94,3194.06,214.899,0.0754312
GCA_033726975.1_PDT001986207.1_genomic_k31_w50_minimizers.hll,2979.16,2840.61,3115.26,136.098,0.0479113
GCA_032485515.1_ASM3248551v1_genomic_k31_w50_minimizers.hll,2979.16,2812.09,3156.43,177.269,0.0630382
GCA_053365655.1_ASM5336565v1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3185.55,206.394,0.0727803
GCA_029091085.1_PDT001653545.1_genomic_k31_w50_minimizers.hll,2979.16,2881.1,3132.2,153.038,0.0531179
GCA_049387085.1_PDT002709826.1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3161.28,182.12,0.0642205
GCA_025926775.1_PDT001471704.1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3157.64,178.482,0.0629376
GCA_052193695.1_PDT002891594.1_genomic_k31_w50_minimizers.hll,2979.16,2825.16,3160.07,180.907,0.0640343
GCA_031511545.1_PDT001703682.1_genomic_k31_w50_minimizers.hll,2979.16,2776.52,3144.31,165.149,0.0594808
GCA_022543445.1_ASM2254344v1_genomic_k31_w50_minimizers.hll,2979.16,2995.96,3145.52,166.361,0.0555284
GCA_027259775.1_PDT001543714.1_genomic_k31_w50_minimizers.hll,2979.16,2827.54,3114.05,134.888,0.0477052
GCA_036948425.1_ASM3694842v1_genomic_k31_w50_minimizers.hll,2979.16,2804.97,3172.2,193.039,0.0688203
GCA_033486475.1_ASM3348647v1_genomic_k31_w50_minimizers.hll,2979.16,2871.57,3189.2,210.039,0.0731443
GCA_034097135.1_ASM3409713v1_genomic_k31_w50_minimizers.hll,2979.16,2788.37,3134.62,155.46,0.0557529
GCA_052914685.1_PDT002769094.1_genomic_k31_w50_minimizers.hll,2979.16,2834.67,3163.7,184.546,0.0651032
GCA_000568175.1_De_novo_Assembly_genomic_k31_w50_minimizers.hll,2979.16,2842.99,3206.21,227.056,0.0798651
GCA_027584615.1_ASM2758461v1_genomic_k31_w50_minimizers.hll,2979.16,2858.46,3129.78,150.617,0.0526916
GCA_965180065.1_M-Mo064-B.1_genomic_k31_w50_minimizers.hll,2979.16,2897.8,3247.62,268.457,0.0926418
GCA_034677525.1_PDT001704630.1_genomic_k31_w50_minimizers.hll,2979.16,2854.89,3219.6,240.439,0.08422
GCA_016771735.1_ASM1677173v1_genomic_k31_w50_minimizers.hll,2979.16,2803.79,3145.52,166.361,0.0593344
GCA_022544075.1_ASM2254407v1_genomic_k31_w50_minimizers.hll,2979.16,3010.37,3093.5,114.342,0.0379828
GCA_033488455.1_ASM3348845v1_genomic_k31_w50_minimizers.hll,2979.16,2864.42,3132.2,153.038,0.0534273
GCA_014104215.1_ASM1410421v1_genomic_k31_w50_minimizers.hll,2979.16,2856.08,3185.55,206.394,0.0722649
GCA_008364575.2_ASM836457v2_genomic_k31_w50_minimizers.hll,2979.16,2794.3,3161.28,182.12,0.0651756
GCA_025999975.1_ASM2599997v1_genomic_k31_w50_minimizers.hll,2979.16,2838.24,3177.05,197.894,0.0697244
GCA_021368715.1_PDT001216417.1_genomic_k31_w50_minimizers.hll,2979.16,2833.48,3109.21,130.052,0.0458982
GCA_033375835.1_ASM3337583v1_genomic_k31_w50_minimizers.hll,2979.16,2833.48,3118.88,139.726,0.0493126
GCA_049321795.1_ASM4932179v1_genomic_k31_w50_minimizers.hll,2979.16,2847.75,3104.37,125.216,0.0439703
GCA_007035805.1_ASM703580v1_genomic_k31_w50_minimizers.hll,2979.16,2832.29,3183.12,203.965,0.0720143
GCA_032515325.1_ASM3251532v1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3104.37,125.216,0.0441547
GCA_049321755.1_ASM4932175v1_genomic_k31_w50_minimizers.hll,2979.16,2838.24,3098.33,119.174,0.0419889
GCA_051757025.1_ASM5175702v1_genomic_k31_w50_minimizers.hll,2979.16,2819.22,3104.37,125.216,0.0444153
GCA_049322115.1_ASM4932211v1_genomic_k31_w50_minimizers.hll,2979.16,2839.42,3099.54,120.383,0.0423968
GCA_031519585.1_PDT001702866.1_genomic_k31_w50_minimizers.hll,2979.16,2814.47,3086.26,107.097,0.0380523
GCA_049727125.1_ASM4972712v1_genomic_k31_w50_minimizers.hll,2979.16,2810.91,3009.17,30.0128,0.0106773
GCA_050889595.1_PDT002802540.1_genomic_k31_w50_minimizers.hll,2979.16,2844.18,3162.49,183.333,0.0644589
GCA_030788105.1_PDT001706138.1_genomic_k31_w50_minimizers.hll,2979.16,2816.84,3111.63,132.47,0.0470277
GCA_033901785.1_ASM3390178v1_genomic_k31_w50_minimizers.hll,2979.16,2837.05,3169.77,190.612,0.0671868
GCA_037148515.1_ASM3714851v1_genomic_k31_w50_minimizers.hll,2979.16,2828.72,3164.92,185.759,0.0656688
GCA_010820845.1_ASM1082084v1_genomic_k31_w50_minimizers.hll,2979.16,2815.66,3111.63,132.47,0.0470475
GCA_050772195.1_ASM5077219v1_genomic_k31_w50_minimizers.hll,2979.16,2823.97,3158.85,179.695,0.0636319
GCA_024917675.1_ASM2491767v1_genomic_k31_w50_minimizers.hll,2979.16,2884.68,3029.61,50.453,0.01749
GCA_001482465.1_ASM148246v1_genomic_k31_w50_minimizers.hll,2979.16,2795.48,3135.83,156.671,0.0560442
GCA_030987015.1_PDT001867188.1_genomic_k31_w50_minimizers.hll,2979.16,2827.54,3112.84,133.679,0.0472775
GCA_026549655.1_PDT001505460.1_genomic_k31_w50_minimizers.hll,2979.16,2832.29,3161.28,182.12,0.0643013
GCA_020701975.1_PDT001164387.1_genomic_k31_w50_minimizers.hll,2979.16,2853.7,3110.42,131.261,0.0459966
GCA_036707995.1_ASM3670799v1_genomic_k31_w50_minimizers.hll,2979.16,2796.67,3124.93,145.776,0.0521248
GCA_025927155.1_PDT001471707.1_genomic_k31_w50_minimizers.hll,2979.16,2833.48,3157.64,178.482,0.0629904
GCA_023672565.1_PDT001323945.1_genomic_k31_w50_minimizers.hll,2979.16,2800.23,3147.94,168.784,0.0602753
GCA_052373615.1_ASM5237361v1_genomic_k31_w50_minimizers.hll,2979.16,2866.8,3168.56,189.399,0.0660662
GCA_025991025.1_PDT001471710.1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3157.64,178.482,0.0629376
GCA_018257775.1_ASM1825777v1_genomic_k31_w50_minimizers.hll,2979.16,2820.41,3164.92,185.759,0.0658624
GCA_900048055.1_Enterobacter_asburiae_genomic_k31_w50_minimizers.hll,2979.16,2931.25,3312.36,333.204,0.113673
GCA_018394395.1_ASM1839439v1_genomic_k31_w50_minimizers.hll,2979.16,2783.63,3150.37,171.208,0.0615055
GCA_033487675.1_ASM3348767v1_genomic_k31_w50_minimizers.hll,2979.16,2858.46,3134.62,155.46,0.0543858
GCA_033031045.1_ASM3303104v1_genomic_k31_w50_minimizers.hll,2979.16,2813.28,3108,128.843,0.045798
GCA_052189175.1_PDT002891765.1_genomic_k31_w50_minimizers.hll,2979.16,2848.94,3175.84,196.68,0.0690363
GCA_019968785.1_ASM1996878v1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3141.88,162.726,0.0573817
GCA_025932875.1_PDT001471695.1_genomic_k31_w50_minimizers.hll,2979.16,2825.16,3152.79,173.632,0.0614593
GCA_023754185.1_ASM2375418v1_genomic_k31_w50_minimizers.hll,2979.16,2838.24,3122.51,143.356,0.0505087
GCA_002264125.1_ASM226412v1_genomic_k31_w50_minimizers.hll,2979.16,2829.91,3146.73,167.573,0.0592148
GCA_052373555.1_ASM5237355v1_genomic_k31_w50_minimizers.hll,2979.16,2869.18,3170.98,191.825,0.0668572
GCA_051371365.1_PDT002835690.1_genomic_k31_w50_minimizers.hll,2979.16,2837.05,3101.96,122.799,0.0432842
GCA_023151535.1_ASM2315153v1_genomic_k31_w50_minimizers.hll,2979.16,2784.81,3134.62,155.46,0.0558241
GCA_024451465.1_ASM2445146v1_genomic_k31_w50_minimizers.hll,2979.16,2787.18,3149.15,169.996,0.0609922
GCA_036708605.1_ASM3670860v1_genomic_k31_w50_minimizers.hll,2979.16,2809.72,3154,174.845,0.0622285
GCA_052163375.1_PDT002889314.1_genomic_k31_w50_minimizers.hll,2979.16,2853.7,3173.41,194.253,0.0680704
GCA_009821655.1_ASM982165v1_genomic_k31_w50_minimizers.hll,2979.16,2829.91,3183.12,203.965,0.0720748
GCA_019968865.1_ASM1996886v1_genomic_k31_w50_minimizers.hll,2979.16,2827.54,3104.37,125.216,0.0442846
GCA_035791235.1_ASM3579123v1_genomic_k31_w50_minimizers.hll,2979.16,2835.86,3146.73,167.573,0.0590906
GCA_031277515.1_ASM3127751v1_genomic_k31_w50_minimizers.hll,2979.16,2821.6,3218.38,239.222,0.0847825
GCA_032480315.1_ASM3248031v1_genomic_k31_w50_minimizers.hll,2979.16,2850.13,2983.96,4.79836,0.00168356
GCA_003986735.1_ASM398673v1_genomic_k31_w50_minimizers.hll,2979.16,2826.35,3134.62,155.46,0.0550037
