sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_030788695.1_PDT001706114.1_genomic_k31_w50_minimizers.hll,5480.39,2788.37,5481.79,1.3973,0.000501116
GCA_900076385.1_12045_5_10_genomic_k31_w50_minimizers.hll,5480.39,2867.99,5505.56,25.1696,0.00877603
GCA_000958735.1_ASM95873v1_genomic_k31_w50_minimizers.hll,5480.39,2862.04,5494.37,13.9783,0.00488405
GCA_023154175.1_ASM2315417v1_genomic_k31_w50_minimizers.hll,5480.39,2784.81,5480.39,0,0
GCA_049322075.1_ASM4932207v1_genomic_k31_w50_minimizers.hll,5480.39,2827.54,5480.39,0,0
GCA_023752605.1_ASM2375260v1_genomic_k31_w50_minimizers.hll,5480.39,2848.94,5485.98,5.5899,0.0019621
GCA_033726975.1_PDT001986207.1_genomic_k31_w50_minimizers.hll,5480.39,2840.61,5480.39,0,0
GCA_032485515.1_ASM3248551v1_genomic_k31_w50_minimizers.hll,5480.39,2812.09,5480.39,0,0
GCA_029091085.1_PDT001653545.1_genomic_k31_w50_minimizers.hll,5480.39,2881.1,5481.79,1.3973,0.000484987
GCA_025926775.1_PDT001471704.1_genomic_k31_w50_minimizers.hll,5480.39,2835.86,5480.39,0,0
GCA_031511545.1_PDT001703682.1_genomic_k31_w50_minimizers.hll,5480.39,2776.52,5480.39,0,0
GCA_022543445.1_ASM2254344v1_genomic_k31_w50_minimizers.hll,5480.39,2995.96,5582.71,102.317,0.0341517
GCA_027259775.1_PDT001543714.1_genomic_k31_w50_minimizers.hll,5480.39,2827.54,5481.79,1.3973,0.000494175
GCA_036948425.1_ASM3694842v1_genomic_k31_w50_minimizers.hll,5480.39,2804.97,5487.38,6.98767,0.00249117
GCA_033486475.1_ASM3348647v1_genomic_k31_w50_minimizers.hll,5480.39,2871.57,5480.39,0,0
GCA_000568175.1_De_novo_Assembly_genomic_k31_w50_minimizers.hll,5480.39,2842.99,5491.57,11.1817,0.00393308
GCA_027584615.1_ASM2758461v1_genomic_k31_w50_minimizers.hll,5480.39,2858.46,5480.39,0,0
GCA_965180065.1_M-Mo064-B.1_genomic_k31_w50_minimizers.hll,5480.39,2897.8,5553.21,72.8179,0.0251287
GCA_034677525.1_PDT001704630.1_genomic_k31_w50_minimizers.hll,5480.39,2854.89,5487.38,6.98767,0.00244761
GCA_022544075.1_ASM2254407v1_genomic_k31_w50_minimizers.hll,5480.39,3010.37,5520.96,40.5701,0.0134768
GCA_014104215.1_ASM1410421v1_genomic_k31_w50_minimizers.hll,5480.39,2856.08,5480.39,0,0
GCA_008364575.2_ASM836457v2_genomic_k31_w50_minimizers.hll,5480.39,2794.3,5480.39,0,0
GCA_025999975.1_ASM2599997v1_genomic_k31_w50_minimizers.hll,5480.39,2838.24,5480.39,0,0
GCA_021368715.1_PDT001216417.1_genomic_k31_w50_minimizers.hll,5480.39,2833.48,5483.19,2.79471,0.000986318
GCA_033375835.1_ASM3337583v1_genomic_k31_w50_minimizers.hll,5480.39,2833.48,5515.36,34.9682,0.0123411
GCA_049321795.1_ASM4932179v1_genomic_k31_w50_minimizers.hll,5480.39,2847.75,5480.39,0,0
GCA_007035805.1_ASM703580v1_genomic_k31_w50_minimizers.hll,5480.39,2832.29,5481.79,1.3973,0.000493345
GCA_049321755.1_ASM4932175v1_genomic_k31_w50_minimizers.hll,5480.39,2838.24,5480.39,0,0
GCA_051757025.1_ASM5175702v1_genomic_k31_w50_minimizers.hll,5480.39,2819.22,5480.39,0,0
GCA_049322115.1_ASM4932211v1_genomic_k31_w50_minimizers.hll,5480.39,2839.42,5480.39,0,0
GCA_031519585.1_PDT001702866.1_genomic_k31_w50_minimizers.hll,5480.39,2814.47,5480.39,0,0
GCA_049727125.1_ASM4972712v1_genomic_k31_w50_minimizers.hll,5480.39,2810.91,5480.39,0,0
GCA_050889595.1_PDT002802540.1_genomic_k31_w50_minimizers.hll,5480.39,2844.18,5480.39,0,0
GCA_030788105.1_PDT001706138.1_genomic_k31_w50_minimizers.hll,5480.39,2816.84,5480.39,0,0
GCA_033901785.1_ASM3390178v1_genomic_k31_w50_minimizers.hll,5480.39,2837.05,5480.39,0,0
GCA_037148515.1_ASM3714851v1_genomic_k31_w50_minimizers.hll,5480.39,2828.72,5480.39,0,0
GCA_010820845.1_ASM1082084v1_genomic_k31_w50_minimizers.hll,5480.39,2815.66,5487.38,6.98767,0.00248172
GCA_050772195.1_ASM5077219v1_genomic_k31_w50_minimizers.hll,5480.39,2823.97,5480.39,0,0
GCA_001482465.1_ASM148246v1_genomic_k31_w50_minimizers.hll,5480.39,2795.48,5483.19,2.79471,0.000999725
GCA_030987015.1_PDT001867188.1_genomic_k31_w50_minimizers.hll,5480.39,2827.54,5480.39,0,0
GCA_020701975.1_PDT001164387.1_genomic_k31_w50_minimizers.hll,5480.39,2853.7,5480.39,0,0
GCA_036707995.1_ASM3670799v1_genomic_k31_w50_minimizers.hll,5480.39,2796.67,5481.79,1.3973,0.000499629
GCA_023672565.1_PDT001323945.1_genomic_k31_w50_minimizers.hll,5480.39,2800.23,5480.39,0,0
GCA_052373615.1_ASM5237361v1_genomic_k31_w50_minimizers.hll,5480.39,2866.8,5480.39,0,0
GCA_025991025.1_PDT001471710.1_genomic_k31_w50_minimizers.hll,5480.39,2835.86,5480.39,0,0
GCA_018257775.1_ASM1825777v1_genomic_k31_w50_minimizers.hll,5480.39,2820.41,5492.97,12.58,0.00446033
GCA_900048055.1_Enterobacter_asburiae_genomic_k31_w50_minimizers.hll,5480.39,2931.25,5568.66,88.2632,0.0301111
GCA_018394395.1_ASM1839439v1_genomic_k31_w50_minimizers.hll,5480.39,2783.63,5480.39,0,0
GCA_033487675.1_ASM3348767v1_genomic_k31_w50_minimizers.hll,5480.39,2858.46,5485.98,5.5899,0.00195556
GCA_033031045.1_ASM3303104v1_genomic_k31_w50_minimizers.hll,5480.39,2813.28,5480.39,0,0
GCA_019968785.1_ASM1996878v1_genomic_k31_w50_minimizers.hll,5480.39,2835.86,5480.39,0,0
