sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_000958735.1_ASM95873v1_genomic_k31_w50_minimizers.hll,8376.7,2862.04,8388.38,11.6761,0.00407963
GCA_049321755.1_ASM4932175v1_genomic_k31_w50_minimizers.hll,8376.7,2838.24,8376.7,0,0
GCA_030987015.1_PDT001867188.1_genomic_k31_w50_minimizers.hll,8376.7,2827.54,8376.7,0,0
GCA_033487675.1_ASM3348767v1_genomic_k31_w50_minimizers.hll,8376.7,2858.46,8376.7,0,0
GCA_031277515.1_ASM3127751v1_genomic_k31_w50_minimizers.hll,8376.7,2821.6,8378.37,1.6675,0.000590977
GCA_023752125.1_ASM2375212v1_genomic_k31_w50_minimizers.hll,8376.7,2865.61,8385.04,8.33919,0.00291009
GCA_012843805.1_ASM1284380v1_genomic_k31_w50_minimizers.hll,8376.7,2782.44,8378.37,1.6675,0.000599293
GCA_048772855.1_PDT002669210.1_genomic_k31_w50_minimizers.hll,8376.7,2816.84,8376.7,0,0
GCA_029686165.1_PDT001259690.1_genomic_k31_w50_minimizers.hll,8376.7,2885.87,8376.7,0,0
GCA_050196635.1_ASM5019663v1_genomic_k31_w50_minimizers.hll,8376.7,2787.18,8376.7,0,0
GCA_053049815.1_ASM5304981v1_genomic_k31_w50_minimizers.hll,8376.7,2819.22,8376.7,0,0
GCA_026549525.1_PDT001505438.1_genomic_k31_w50_minimizers.hll,8376.7,2826.35,8376.7,0,0
GCA_015168595.1_ASM1516859v1_genomic_k31_w50_minimizers.hll,8376.7,2828.72,8376.7,0,0
GCA_034107165.1_ASM3410716v1_genomic_k31_w50_minimizers.hll,8376.7,2784.81,8376.7,0,0
GCA_027571565.1_PDT001543644.1_genomic_k31_w50_minimizers.hll,8376.7,2848.94,8380.04,3.33517,0.00117067
GCA_032983745.1_PDT001951879.1_genomic_k31_w50_minimizers.hll,8376.7,2814.47,8376.7,0,0
GCA_031821645.1_PDT001702130.1_genomic_k31_w50_minimizers.hll,8376.7,2842.99,8376.7,0,0
GCA_958453325.1_SRR18940306_bin.39_MetaWRAP_v1.3_MAG_genomic_k31_w50_minimizers.hll,8376.7,2629.1,8376.7,0,0
GCA_032741615.1_ASM3274161v1_genomic_k31_w50_minimizers.hll,8376.7,2866.8,8376.7,0,0
GCA_029872345.1_ASM2987234v1_genomic_k31_w50_minimizers.hll,8376.7,2814.47,8376.7,0,0
GCA_050770015.1_ASM5077001v1_genomic_k31_w50_minimizers.hll,8376.7,2845.37,8376.7,0,0
GCA_032515425.1_ASM3251542v1_genomic_k31_w50_minimizers.hll,8376.7,2904.96,8490.48,113.778,0.0391668
GCA_020682285.1_PDT001164356.1_genomic_k31_w50_minimizers.hll,8376.7,2826.35,8376.7,0,0
GCA_015685515.2_PDT000094015.3_genomic_k31_w50_minimizers.hll,8376.7,2826.35,8376.7,0,0
GCA_053710475.1_ASM5371047v1_genomic_k31_w50_minimizers.hll,8376.7,2772.96,8380.04,3.33517,0.00120274
GCA_025902225.1_PDT001469796.1_genomic_k31_w50_minimizers.hll,8376.7,2853.7,8376.7,0,0
GCA_036948005.1_ASM3694800v1_genomic_k31_w50_minimizers.hll,8376.7,2828.72,8380.04,3.33517,0.00117903
GCA_013169015.1_ASM1316901v1_genomic_k31_w50_minimizers.hll,8376.7,2854.89,8376.7,0,0
GCA_002886845.1_ASM288684v1_genomic_k31_w50_minimizers.hll,8376.7,2854.89,8376.7,0,0
