sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_047464115.1_ASM4746411v1_genomic_k31_w50_minimizers.hll,122099,2506.28,122099,0,0
GCA_004570525.1_ASM457052v1_genomic_k31_w50_minimizers.hll,122099,2426.07,122099,0,0
GCA_000191125.1_ASM19112v1_genomic_k31_w50_minimizers.hll,122099,2530.77,122099,0,0
GCA_053548035.1_ASM5354803v1_genomic_k31_w50_minimizers.hll,122099,2584.54,122099,0.0563976,2.18211e-05
GCA_001837205.1_ASM183720v1_genomic_k31_w50_minimizers.hll,122099,2607.98,122133,33.6975,0.0129209
GCA_046980465.1_ASM4698046v1_genomic_k31_w50_minimizers.hll,122099,2413.32,122294,194.279,0.0805026
GCA_008726565.1_ASM872656v1_genomic_k31_w50_minimizers.hll,122099,2473.69,122099,0,0
GCA_047463375.1_ASM4746337v1_genomic_k31_w50_minimizers.hll,122099,2531.94,122099,0.0364235,1.43856e-05
GCA_016481305.1_ASM1648130v1_genomic_k31_w50_minimizers.hll,122099,2457.41,122099,0.0223241,9.08437e-06
GCA_946183695.1_B134_S53_genomic_k31_w50_minimizers.hll,122099,2478.34,122099,0,0
GCA_938046685.1_ERR1430443_bin.89_CONCOCT_v1.1_MAG_genomic_k31_w50_minimizers.hll,122099,2450.44,122099,0,0
GCA_012641615.1_ASM1264161v1_genomic_k31_w50_minimizers.hll,122099,2496.96,122099,0,0
GCA_018382455.1_ASM1838245v1_genomic_k31_w50_minimizers.hll,122099,2478.34,122099,0.00117495,4.74088e-07
GCA_977036405.1_AGN035SA.77_genomic_k31_w50_minimizers.hll,122099,2335.87,122099,0.0070497,3.01801e-06
GCA_903886345.1_Streptococcus_thermophilus_CIRM_32_genomic_k31_w50_minimizers.hll,122099,2453.93,122099,0,0
GCA_029223725.1_ASM2922372v1_genomic_k31_w50_minimizers.hll,122099,2503.95,122099,0,0
GCA_026160885.1_ASM2616088v1_genomic_k31_w50_minimizers.hll,122099,2426.07,122099,0,0
GCA_001659645.1_ASM165964v1_genomic_k31_w50_minimizers.hll,122099,2642.02,122221,121.338,0.0459262
GCA_003497325.1_ASM349732v1_genomic_k31_w50_minimizers.hll,122099,2387.85,122099,0,0
GCA_048283125.1_ASM4828312v1_genomic_k31_w50_minimizers.hll,122099,2471.36,122099,0,0
GCA_000229205.2_SMUT5-NEX_9-173_genomic_k31_w50_minimizers.hll,122099,2452.77,122099,0,0
GCA_001807935.1_ASM180793v1_genomic_k31_w50_minimizers.hll,122099,2489.98,122099,0,0
GCA_015666945.1_ASM1566694v1_genomic_k31_w50_minimizers.hll,122099,2544.78,122099,0,0
GCA_001867245.1_ASM186724v1_genomic_k31_w50_minimizers.hll,122099,2435.35,122099,0,0
GCA_021297215.1_ASM2129721v1_genomic_k31_w50_minimizers.hll,122099,2651.42,122108,8.42262,0.00317665
GCA_905071845.1_AMBR055_genomic_k31_w50_minimizers.hll,122099,2592.74,122116,16.8464,0.00649753
GCA_021296775.1_ASM2129677v1_genomic_k31_w50_minimizers.hll,122099,2569.33,122104,4.81278,0.00187317
GCA_026194025.1_ASM2619402v1_genomic_k31_w50_minimizers.hll,122099,2457.41,122099,0,0
GCA_946189515.1_B85_S7_genomic_k31_w50_minimizers.hll,122099,2459.74,122099,0,0
GCA_959600255.1_SRR16280109_bin.45_MetaWRAP_v1.3_MAG_genomic_k31_w50_minimizers.hll,122099,2458.58,122099,0,0
GCA_042822305.1_MGGS35977_genomic_k31_w50_minimizers.hll,122099,2521.44,122099,0,0
GCA_020530445.1_ASM2053044v1_genomic_k31_w50_minimizers.hll,122099,2459.74,122099,0,0
GCA_013004125.1_ASM1300412v1_genomic_k31_w50_minimizers.hll,122099,2484.16,122099,0,0
GCA_963515655.1_ERR9969033_bin.12_MetaWRAP_v1.3_MAG_genomic_k31_w50_minimizers.hll,122099,2481.83,122099,0,0
GCA_977039345.1_AGN043SA.9_genomic_k31_w50_minimizers.hll,122099,2516.77,122108,8.42262,0.00334659
GCA_027687505.1_ASM2768750v1_genomic_k31_w50_minimizers.hll,122099,2462.06,122099,0,0
GCA_958405715.1_ERR10960889_bin.13_MetaWRAP_v1.3_MAG_genomic_k31_w50_minimizers.hll,122099,2453.93,122099,0,0
GCA_053544575.1_ASM5354457v1_genomic_k31_w50_minimizers.hll,122099,2465.55,122099,0,0
GCA_017510125.1_ASM1751012v1_genomic_k31_w50_minimizers.hll,122099,2361.27,122099,0.0046998,1.99037e-06
GCA_009716965.1_ASM971696v1_genomic_k31_w50_minimizers.hll,122099,2508.61,122140,40.902,0.0163046
GCA_024295585.1_ASM2429558v1_genomic_k31_w50_minimizers.hll,122099,2466.71,122099,0,0
GCA_000213825.1_ASM21382v1_genomic_k31_w50_minimizers.hll,122099,2530.77,122099,0,0
GCA_019929565.1_ASM1992956v1_genomic_k31_w50_minimizers.hll,122099,2453.93,122100,0.601577,0.000245149
GCA_034100745.1_ASM3410074v1_genomic_k31_w50_minimizers.hll,122099,2448.12,122099,0,0
GCA_040908565.1_ASM4090856v1_genomic_k31_w50_minimizers.hll,122099,2514.44,122099,0,0
GCA_034090475.1_ASM3409047v1_genomic_k31_w50_minimizers.hll,122099,2487.65,122099,0,0
GCA_024295565.1_ASM2429556v1_genomic_k31_w50_minimizers.hll,122099,2508.61,122099,0,0
GCA_022509625.1_ASM2250962v1_genomic_k31_w50_minimizers.hll,122099,2472.52,122099,0,0
GCA_048355775.1_ASM4835577v1_genomic_k31_w50_minimizers.hll,122099,2346.26,122099,0,0
GCA_033023235.1_ASM3302323v1_genomic_k31_w50_minimizers.hll,122099,2526.1,122099,0,0
GCA_946188935.1_B73_S91_genomic_k31_w50_minimizers.hll,122099,2469.04,122099,0,0
GCA_026783545.1_ASM2678354v1_genomic_k31_w50_minimizers.hll,122099,2536.61,122099,0,0
GCA_965305995.1_S0467_NS37_NS82_concoct_bins.tsv.103_sub_genomic_k31_w50_minimizers.hll,122099,2671.42,122421,321.332,0.120285
GCA_036235995.1_ASM3623599v1_genomic_k31_w50_minimizers.hll,122099,2467.87,122099,0,0
GCA_042923325.1_MGCS35678_genomic_k31_w50_minimizers.hll,122099,2520.27,122099,0,0
GCA_032484295.1_ASM3248429v1_genomic_k31_w50_minimizers.hll,122099,2386.7,122099,0,0
GCA_005890335.1_ASM589033v1_genomic_k31_w50_minimizers.hll,122099,2505.12,122099,0,0
