sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_047464115.1_ASM4746411v1_genomic_k31_w50_minimizers.hll,104941,2506.28,104941,0,0
GCA_959604035.1_SRR16280119_bin.31_MetaWRAP_v1.3_MAG_genomic_k31_w50_minimizers.hll,104941,2510.94,104941,0,0
GCA_018002855.1_ASM1800285v1_genomic_k31_w50_minimizers.hll,104941,2065.95,104941,0,0
GCA_950102055.1_S-thermophilus_H11bM2_genomic_k31_w50_minimizers.hll,104941,2443.48,104941,0,0
GCA_032511295.1_ASM3251129v1_genomic_k31_w50_minimizers.hll,104941,2455.09,104941,0,0
GCA_046886305.1_ASM4688630v1_genomic_k31_w50_minimizers.hll,104941,2466.71,104950,8.88837,0.00360333
GCA_001837205.1_ASM183720v1_genomic_k31_w50_minimizers.hll,104941,2607.98,105069,127.692,0.0489623
GCA_050315355.1_ASM5031535v1_genomic_k31_w50_minimizers.hll,104941,2458.58,104941,0,0
GCA_001838105.1_ASM183810v1_genomic_k31_w50_minimizers.hll,104941,2522.61,104941,0,0
GCA_025908845.1_ASM2590884v1_genomic_k31_w50_minimizers.hll,104941,2476.01,104941,0,0
GCA_032616875.1_ASM3261687v1_genomic_k31_w50_minimizers.hll,104941,2480.67,104941,0,0
GCA_008726565.1_ASM872656v1_genomic_k31_w50_minimizers.hll,104941,2473.69,104941,0,0
GCA_005890605.1_ASM589060v1_genomic_k31_w50_minimizers.hll,104941,2509.78,104941,0,0
GCA_950102065.1_S-thermophilus_H11M1b_genomic_k31_w50_minimizers.hll,104941,2443.48,104941,0,0
GCA_024295645.1_ASM2429564v1_genomic_k31_w50_minimizers.hll,104941,2459.74,104941,0,0
GCA_049393755.1_ASM4939375v1_genomic_k31_w50_minimizers.hll,104941,2455.09,104941,0.111095,4.5251e-05
GCA_018127725.1_ASM1812772v1_genomic_k31_w50_minimizers.hll,104941,2493.47,104941,0,0
GCA_021293655.1_ASM2129365v1_genomic_k31_w50_minimizers.hll,104941,2554.13,104941,0,0
GCA_946223885.1_B153_genomic_k31_w50_minimizers.hll,104941,2463.22,104941,0,0
GCA_002088025.1_ASM208802v1_genomic_k31_w50_minimizers.hll,104941,2450.44,104941,0,0
GCA_001659655.1_ASM165965v1_genomic_k31_w50_minimizers.hll,104941,2501.62,104941,0,0
GCA_016481305.1_ASM1648130v1_genomic_k31_w50_minimizers.hll,104941,2457.41,104941,0.0164907,6.71059e-06
GCA_025908655.1_ASM2590865v1_genomic_k31_w50_minimizers.hll,104941,2503.95,104941,0,0
GCA_046327855.1_ASM4632785v1_genomic_k31_w50_minimizers.hll,104941,2474.85,104943,1.77929,0.000718948
GCA_020530645.1_ASM2053064v1_genomic_k31_w50_minimizers.hll,104941,2487.65,104941,0,0
