sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_041618715.1_ASM4161871v1_genomic_k31_w50_minimizers.hll,7756.64,2508.61,7756.64,0,0
GCA_041609775.1_ASM4160977v1_genomic_k31_w50_minimizers.hll,7756.64,2579.86,7756.64,0,0
GCA_003254295.1_ASM325429v1_genomic_k31_w50_minimizers.hll,7756.64,2679.66,7766.27,9.63576,0.00359589
GCA_001402715.1_ASM140271v1_genomic_k31_w50_minimizers.hll,7756.64,2756.39,7804.87,48.2356,0.0174995
GCA_037619735.1_ASM3761973v1_genomic_k31_w50_minimizers.hll,7756.64,2514.44,7759.85,3.21129,0.00127714
GCA_041613715.1_ASM4161371v1_genomic_k31_w50_minimizers.hll,7756.64,2612.67,7756.64,0,0
GCA_020023995.1_ASM2002399v1_genomic_k31_w50_minimizers.hll,7756.64,2712.67,7767.88,11.2423,0.00414436
GCA_041604655.1_ASM4160465v1_genomic_k31_w50_minimizers.hll,7756.64,2589.23,7756.64,0,0
GCA_041568875.1_ASM4156887v1_genomic_k31_w50_minimizers.hll,7756.64,2591.57,7756.64,0,0
GCA_040375815.1_ASM4037581v1_genomic_k31_w50_minimizers.hll,7756.64,2581.03,7761.45,4.81717,0.00186637
GCA_000506545.2_ASM50654v2_genomic_k31_w50_minimizers.hll,7756.64,2783.63,7848.4,91.7693,0.0329675
GCA_041615075.1_ASM4161507v1_genomic_k31_w50_minimizers.hll,7756.64,2666.71,7756.64,0,0
GCA_052362635.1_ASM5236263v1_genomic_k31_w50_minimizers.hll,7756.64,2726.84,7756.64,0,0
GCA_041575975.1_ASM4157597v1_genomic_k31_w50_minimizers.hll,7756.64,2477.18,7756.64,0,0
GCA_001856665.1_ASM185666v1_genomic_k31_w50_minimizers.hll,7756.64,2697.33,7756.64,0,0
GCA_943368195.1_JJ-RDKV18-29-2-m1-bin411_genomic_k31_w50_minimizers.hll,7756.64,2676.13,7759.85,3.21129,0.00119998
GCA_900217725.1_IMG-taxon_2740891830_annotated_assembly_genomic_k31_w50_minimizers.hll,7756.64,2735.11,7759.85,3.21129,0.0011741
GCA_020250135.1_ASM2025013v1_genomic_k31_w50_minimizers.hll,7756.64,2742.2,7758.24,1.60557,0.000585504
GCA_030066215.1_ASM3006621v1_genomic_k31_w50_minimizers.hll,7756.64,2794.3,7763.06,6.42321,0.00229869
GCA_900105075.1_IMG-taxon_2693429821_annotated_assembly_genomic_k31_w50_minimizers.hll,7756.64,2839.42,7759.85,3.21129,0.00113097
GCA_000506425.2_ASM50642v2_genomic_k31_w50_minimizers.hll,7756.64,2820.41,7871.02,114.388,0.0405573
GCA_003217355.1_ASM321735v1_genomic_k31_w50_minimizers.hll,7756.64,2719.75,7763.06,6.42321,0.00236169
GCA_008271455.1_ASM827145v1_genomic_k31_w50_minimizers.hll,7756.64,2731.56,7756.64,0,0
GCA_041620775.1_ASM4162077v1_genomic_k31_w50_minimizers.hll,7756.64,2548.29,7756.64,0,0
GCA_041589835.1_ASM4158983v1_genomic_k31_w50_minimizers.hll,7756.64,2549.46,7756.64,0,0
GCA_020250175.1_ASM2025017v1_genomic_k31_w50_minimizers.hll,7756.64,2745.74,7758.24,1.60557,0.000584747
GCA_014622665.1_ASM1462266v1_genomic_k31_w50_minimizers.hll,7756.64,2667.89,7756.64,0,0
GCA_041630995.1_ASM4163099v1_genomic_k31_w50_minimizers.hll,7756.64,2583.37,7756.64,0,0
GCA_041596755.1_ASM4159675v1_genomic_k31_w50_minimizers.hll,7756.64,2664.36,7756.64,0,0
GCA_031425795.1_ASM3142579v1_genomic_k31_w50_minimizers.hll,7756.64,2731.56,7761.45,4.81717,0.00176352
GCA_016711185.1_ASM1671118v1_genomic_k31_w50_minimizers.hll,7756.64,2749.29,7756.64,0,0
GCA_052363175.1_ASM5236317v1_genomic_k31_w50_minimizers.hll,7756.64,2749.29,7759.85,3.21129,0.00116804
GCA_003053525.1_ASM305352v1_genomic_k31_w50_minimizers.hll,7756.64,2744.56,7764.66,8.0294,0.00292557
GCA_052362925.1_ASM5236292v1_genomic_k31_w50_minimizers.hll,7756.64,2725.65,7756.64,0,0
GCA_900156655.1_IMG-taxon_2681813516_annotated_assembly_genomic_k31_w50_minimizers.hll,7756.64,2743.38,7763.06,6.42321,0.00234135
GCA_020250505.1_ASM2025050v1_genomic_k31_w50_minimizers.hll,7756.64,2705.59,7756.64,0,0
GCA_020564565.1_ASM2056456v1_genomic_k31_w50_minimizers.hll,7756.64,2743.38,7761.45,4.81717,0.00175593
GCA_041565895.1_ASM4156589v1_genomic_k31_w50_minimizers.hll,7756.64,2526.1,7756.64,0,0
GCA_020250345.1_ASM2025034v1_genomic_k31_w50_minimizers.hll,7756.64,2698.51,7756.64,0,0
GCA_020250825.1_ASM2025082v1_genomic_k31_w50_minimizers.hll,7756.64,2632.62,7756.64,0,0
GCA_020250515.1_ASM2025051v1_genomic_k31_w50_minimizers.hll,7756.64,2679.66,7756.64,0,0
GCA_003477325.1_ASM347732v1_genomic_k31_w50_minimizers.hll,7756.64,2459.74,7791.99,35.3589,0.0143751
GCA_041628855.1_ASM4162885v1_genomic_k31_w50_minimizers.hll,7756.64,2513.28,7756.64,0,0
GCA_020285365.1_ASM2028536v1_genomic_k31_w50_minimizers.hll,7756.64,2707.95,7756.64,0,0
GCA_040378945.1_ASM4037894v1_genomic_k31_w50_minimizers.hll,7756.64,2427.23,7758.24,1.60557,0.00066148
GCA_020637595.1_ASM2063759v1_genomic_k31_w50_minimizers.hll,7756.64,2693.8,7759.85,3.21129,0.0011921
GCA_039808125.1_ASM3980812v1_genomic_k31_w50_minimizers.hll,7756.64,2755.21,7759.85,3.21129,0.00116554
GCA_022824145.1_ASM2282414v1_genomic_k31_w50_minimizers.hll,7756.64,2789.55,7767.88,11.2423,0.00403013
GCA_041590815.1_ASM4159081v1_genomic_k31_w50_minimizers.hll,7756.64,2581.03,7756.64,0,0
GCA_020251025.1_ASM2025102v1_genomic_k31_w50_minimizers.hll,7756.64,2686.73,7756.64,0,0
