sketch_S,|R|,|S|,|R_union_S|,|S_minus_R|,rho
GCA_041606655.1_ASM4160665v1_genomic_k31_w50_minimizers.hll,4314.28,2610.32,4315.58,1.3013,0.00049852
GCA_041618715.1_ASM4161871v1_genomic_k31_w50_minimizers.hll,4314.28,2508.61,4314.28,0,0
GCA_041638905.1_ASM4163890v1_genomic_k31_w50_minimizers.hll,4314.28,2516.77,4315.58,1.3013,0.00051705
GCA_020250125.1_ASM2025012v1_genomic_k31_w50_minimizers.hll,4314.28,2666.71,4322.09,7.80934,0.00292846
GCA_020250385.1_ASM2025038v1_genomic_k31_w50_minimizers.hll,4314.28,2772.96,4315.58,1.3013,0.000469281
GCA_943369275.1_JJ-KO21-114-1-m1-bin283_genomic_k31_w50_minimizers.hll,4314.28,2750.47,4328.6,14.32,0.00520636
GCA_005222785.1_ASM522278v1_genomic_k31_w50_minimizers.hll,4314.28,2764.67,4322.09,7.80934,0.00282469
GCA_052244495.1_ASM5224449v1_genomic_k31_w50_minimizers.hll,4314.28,2750.47,4327.3,13.0176,0.00473287
GCA_041609775.1_ASM4160977v1_genomic_k31_w50_minimizers.hll,4314.28,2579.86,4314.28,0,0
GCA_041626495.1_ASM4162649v1_genomic_k31_w50_minimizers.hll,4314.28,2627.92,4316.89,2.6027,0.000990402
GCA_943370095.1_JJ-RD213-32-2-mx-bin774_genomic_k31_w50_minimizers.hll,4314.28,2895.41,4341.63,27.349,0.00944563
GCA_020250305.1_ASM2025030v1_genomic_k31_w50_minimizers.hll,4314.28,2711.49,4316.89,2.6027,0.000959879
GCA_001402715.1_ASM140271v1_genomic_k31_w50_minimizers.hll,4314.28,2756.39,4387.32,73.0324,0.0264957
GCA_037619735.1_ASM3761973v1_genomic_k31_w50_minimizers.hll,4314.28,2514.44,4329.91,15.6224,0.00621307
GCA_027484865.1_ASM2748486v1_genomic_k31_w50_minimizers.hll,4314.28,2746.93,4331.21,16.9249,0.00616141
GCA_020250465.1_ASM2025046v1_genomic_k31_w50_minimizers.hll,4314.28,2715.03,4316.89,2.6027,0.000958627
GCA_041638215.1_ASM4163821v1_genomic_k31_w50_minimizers.hll,4314.28,2630.27,4315.58,1.3013,0.000494739
GCA_900102155.1_IMG-taxon_2597490355_annotated_assembly_genomic_k31_w50_minimizers.hll,4314.28,2715.03,4315.58,1.3013,0.000479295
GCA_020251085.1_ASM2025108v1_genomic_k31_w50_minimizers.hll,4314.28,2666.71,4314.28,0,0
GCA_003519265.1_ASM351926v1_genomic_k31_w50_minimizers.hll,4314.28,3473.5,5230.8,916.518,0.26386
GCA_041613715.1_ASM4161371v1_genomic_k31_w50_minimizers.hll,4314.28,2612.67,4315.58,1.3013,0.000498073
GCA_020023995.1_ASM2002399v1_genomic_k31_w50_minimizers.hll,4314.28,2712.67,4329.91,15.6224,0.00575906
GCA_041604655.1_ASM4160465v1_genomic_k31_w50_minimizers.hll,4314.28,2589.23,4314.28,0,0
GCA_052363645.1_ASM5236364v1_genomic_k31_w50_minimizers.hll,4314.28,2748.11,4324.7,10.4133,0.00378925
GCA_041636735.1_ASM4163673v1_genomic_k31_w50_minimizers.hll,4314.28,2545.95,4314.28,0,0
GCA_052362895.1_ASM5236289v1_genomic_k31_w50_minimizers.hll,4314.28,2726.84,4314.28,0,0
GCA_052363185.1_ASM5236318v1_genomic_k31_w50_minimizers.hll,4314.28,2667.89,4324.7,10.4133,0.00390319
GCA_041568875.1_ASM4156887v1_genomic_k31_w50_minimizers.hll,4314.28,2591.57,4316.89,2.6027,0.00100429
GCA_008271475.1_ASM827147v1_genomic_k31_w50_minimizers.hll,4314.28,2682.02,4319.49,5.20581,0.00194101
GCA_040375815.1_ASM4037581v1_genomic_k31_w50_minimizers.hll,4314.28,2581.03,4326,11.7154,0.00453904
GCA_041592215.1_ASM4159221v1_genomic_k31_w50_minimizers.hll,4314.28,2629.1,4318.19,3.90421,0.001485
GCA_027489175.1_ASM2748917v1_genomic_k31_w50_minimizers.hll,4314.28,2754.02,4329.91,15.6224,0.00567258
GCA_041635115.1_ASM4163511v1_genomic_k31_w50_minimizers.hll,4314.28,2671.42,4319.49,5.20581,0.00194871
GCA_029277405.1_ASM2927740v1_genomic_k31_w50_minimizers.hll,4314.28,2713.85,4315.58,1.3013,0.000479503
GCA_000021865.1_ASM2186v1_genomic_k31_w50_minimizers.hll,4314.28,2731.56,4314.28,0,0
GCA_022340385.1_ASM2234038v1_genomic_k31_w50_minimizers.hll,4314.28,2725.65,4331.21,16.9249,0.0062095
GCA_000506545.2_ASM50654v2_genomic_k31_w50_minimizers.hll,4314.28,2783.63,4420.03,105.741,0.037987
GCA_041605355.1_ASM4160535v1_genomic_k31_w50_minimizers.hll,4314.28,2624.4,4314.28,0,0
GCA_041634375.1_ASM4163437v1_genomic_k31_w50_minimizers.hll,4314.28,2571.67,4315.58,1.3013,0.000506013
GCA_041585335.1_ASM4158533v1_genomic_k31_w50_minimizers.hll,4314.28,2611.5,4316.89,2.6027,0.000996632
GCA_041608275.1_ASM4160827v1_genomic_k31_w50_minimizers.hll,4314.28,2634.97,4314.28,0,0
GCA_052362635.1_ASM5236263v1_genomic_k31_w50_minimizers.hll,4314.28,2726.84,4315.58,1.3013,0.000477219
GCA_041575975.1_ASM4157597v1_genomic_k31_w50_minimizers.hll,4314.28,2477.18,4315.58,1.3013,0.000525315
GCA_041588735.1_ASM4158873v1_genomic_k31_w50_minimizers.hll,4314.28,2581.03,4315.58,1.3013,0.000504178
GCA_001856665.1_ASM185666v1_genomic_k31_w50_minimizers.hll,4314.28,2697.33,4326,11.7154,0.00434333
GCA_027489815.1_ASM2748981v1_genomic_k31_w50_minimizers.hll,4314.28,2771.78,4340.33,26.0456,0.00939672
GCA_041582015.1_ASM4158201v1_genomic_k31_w50_minimizers.hll,4314.28,2549.46,4314.28,0,0
GCA_943368195.1_JJ-RDKV18-29-2-m1-bin411_genomic_k31_w50_minimizers.hll,4314.28,2676.13,4332.51,18.2276,0.00681118
GCA_041636235.1_ASM4163623v1_genomic_k31_w50_minimizers.hll,4314.28,2578.69,4315.58,1.3013,0.000504635
GCA_021300335.1_ASM2130033v1_genomic_k31_w50_minimizers.hll,4314.28,2703.23,4332.51,18.2276,0.00674289
GCA_900217725.1_IMG-taxon_2740891830_annotated_assembly_genomic_k31_w50_minimizers.hll,4314.28,2735.11,4332.51,18.2276,0.00666431
GCA_041582715.1_ASM4158271v1_genomic_k31_w50_minimizers.hll,4314.28,2548.29,4314.28,0,0
GCA_005144475.1_ASM514447v1_genomic_k31_w50_minimizers.hll,4314.28,2803.79,4329.91,15.6224,0.0055719
GCA_016704435.1_ASM1670443v1_genomic_k31_w50_minimizers.hll,4314.28,2776.52,4332.51,18.2276,0.00656491
GCA_021378075.1_ASM2137807v1_genomic_k31_w50_minimizers.hll,4314.28,2700.87,4332.51,18.2276,0.00674878
GCA_041616495.1_ASM4161649v1_genomic_k31_w50_minimizers.hll,4314.28,2433.03,4316.89,2.6027,0.00106973
GCA_020250135.1_ASM2025013v1_genomic_k31_w50_minimizers.hll,4314.28,2742.2,4328.6,14.32,0.00522208
GCA_008271445.1_ASM827144v1_genomic_k31_w50_minimizers.hll,4314.28,2732.74,4320.79,6.50753,0.00238132
GCA_013824045.1_ASM1382404v1_genomic_k31_w50_minimizers.hll,4314.28,2651.42,4329.91,15.6224,0.00589209
GCA_030066215.1_ASM3006621v1_genomic_k31_w50_minimizers.hll,4314.28,2794.3,4340.33,26.0456,0.009321
GCA_900105075.1_IMG-taxon_2693429821_annotated_assembly_genomic_k31_w50_minimizers.hll,4314.28,2839.42,4332.51,18.2276,0.00641947
GCA_020251165.1_ASM2025116v1_genomic_k31_w50_minimizers.hll,4314.28,2632.62,4314.28,0,0
GCA_041566295.1_ASM4156629v1_genomic_k31_w50_minimizers.hll,4314.28,2559.97,4316.89,2.6027,0.00101669
GCA_041738105.1_ASM4173810v1_genomic_k31_w50_minimizers.hll,4314.28,2669.06,4323.39,9.11126,0.00341365
GCA_000506425.2_ASM50642v2_genomic_k31_w50_minimizers.hll,4314.28,2820.41,4437.06,122.776,0.0435313
GCA_008271455.1_ASM827145v1_genomic_k31_w50_minimizers.hll,4314.28,2731.56,4320.79,6.50753,0.00238235
GCA_020250965.1_ASM2025096v1_genomic_k31_w50_minimizers.hll,4314.28,2665.53,4314.28,0,0
GCA_014622665.1_ASM1462266v1_genomic_k31_w50_minimizers.hll,4314.28,2667.89,4314.28,0,0
GCA_020250945.1_ASM2025094v1_genomic_k31_w50_minimizers.hll,4314.28,2662,4314.28,0,0
GCA_041630995.1_ASM4163099v1_genomic_k31_w50_minimizers.hll,4314.28,2583.37,4314.28,0,0
GCA_041596755.1_ASM4159675v1_genomic_k31_w50_minimizers.hll,4314.28,2664.36,4314.28,0,0
GCA_027482795.1_ASM2748279v1_genomic_k31_w50_minimizers.hll,4314.28,2605.63,4326,11.7154,0.00449619
GCA_031425795.1_ASM3142579v1_genomic_k31_w50_minimizers.hll,4314.28,2731.56,4326,11.7154,0.00428891
GCA_013204485.1_ASM1320448v1_genomic_k31_w50_minimizers.hll,4314.28,2626.75,4322.09,7.80934,0.00297301
GCA_016711185.1_ASM1671118v1_genomic_k31_w50_minimizers.hll,4314.28,2749.29,4329.91,15.6224,0.00568234
GCA_052363175.1_ASM5236317v1_genomic_k31_w50_minimizers.hll,4314.28,2749.29,4329.91,15.6224,0.00568234
GCA_006546695.1_ASM654669v1_genomic_k31_w50_minimizers.hll,4314.28,2729.2,4315.58,1.3013,0.000476806
GCA_020637555.1_ASM2063755v1_genomic_k31_w50_minimizers.hll,4314.28,2726.84,4326,11.7154,0.00429634
GCA_041574715.1_ASM4157471v1_genomic_k31_w50_minimizers.hll,4314.28,2598.6,4316.89,2.6027,0.00100158
GCA_003529785.1_ASM352978v1_genomic_k31_w50_minimizers.hll,4314.28,3019.99,4920.01,605.73,0.200574
GCA_041586335.1_ASM4158633v1_genomic_k31_w50_minimizers.hll,4314.28,2556.47,4314.28,0,0
GCA_020250845.1_ASM2025084v1_genomic_k31_w50_minimizers.hll,4314.28,2757.57,4324.7,10.4133,0.00377625
GCA_000500915.1_Q27bRhosp1.0_genomic_k31_w50_minimizers.hll,4314.28,2784.81,4358.59,44.3022,0.0159085
GCA_002407205.1_ASM240720v1_genomic_k31_w50_minimizers.hll,4314.28,2801.41,4337.72,23.4392,0.00836692
GCA_003536295.1_ASM353629v1_genomic_k31_w50_minimizers.hll,4314.28,2491.14,4387.32,73.0324,0.0293168
GCA_025950525.1_ASM2595052v1_genomic_k31_w50_minimizers.hll,4314.28,2751.66,4333.81,19.5303,0.00709766
GCA_052362925.1_ASM5236292v1_genomic_k31_w50_minimizers.hll,4314.28,2725.65,4314.28,0,0
GCA_026709485.1_ASM2670948v1_genomic_k31_w50_minimizers.hll,4314.28,2768.23,4365.11,50.8274,0.018361
GCA_017303295.1_ASM1730329v1_genomic_k31_w50_minimizers.hll,4314.28,2801.41,4335.12,20.8332,0.00743667
GCA_020250505.1_ASM2025050v1_genomic_k31_w50_minimizers.hll,4314.28,2705.59,4314.28,0,0
GCA_003538565.1_ASM353856v1_genomic_k31_w50_minimizers.hll,4314.28,2809.72,4400.39,86.1082,0.0306465
GCA_013824055.1_ASM1382405v1_genomic_k31_w50_minimizers.hll,4314.28,2676.13,4323.39,9.11126,0.00340464
GCA_047341015.1_ASM4734101v1_genomic_k31_w50_minimizers.hll,4314.28,2683.19,4366.42,52.1327,0.0194294
GCA_041602635.1_ASM4160263v1_genomic_k31_w50_minimizers.hll,4314.28,2583.37,4315.58,1.3013,0.000503721
GCA_031630755.1_ASM3163075v1_genomic_k31_w50_minimizers.hll,4314.28,2737.47,4314.28,0,0
GCA_035907055.1_ASM3590705v1_genomic_k31_w50_minimizers.hll,4314.28,2574.01,4333.81,19.5303,0.00758752
